"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5026","CreateTicketTypeTest","Sanity Tests","Mon Aug 04 15:44:48 IST 2025","failed","Mon Aug 04 15:44:53 IST 2025","Ticket Process (Type, Priority, Stage) Setup Tests","","",""
"","11471","LeadStatusSetupTest","Sanity Tests","Mon Aug 04 18:58:56 IST 2025","passed","Mon Aug 04 18:59:08 IST 2025","Lead Process Field Setup Tests","","",""
"","14880","LeadStageCompleteTest","Sanity Tests","Mon Aug 04 19:15:54 IST 2025","passed","Mon Aug 04 19:16:09 IST 2025","Lead Process Field Setup Tests","","",""
"","12192","LeadLostReasonCompleteTest","Sanity Tests","Mon Aug 04 19:12:10 IST 2025","passed","Mon Aug 04 19:12:22 IST 2025","Lead Process Field Setup Tests","","",""
"","6","UpdateLeadStatusTest","Sanity Tests","Mon Aug 04 18:16:02 IST 2025","skipped","Mon Aug 04 18:16:02 IST 2025","Lead Process Field Setup Tests","","",""
"","134","Lead Lost Reason Setup","Sanity Tests","Tue Aug 05 16:25:57 IST 2025","passed","Tue Aug 05 16:25:57 IST 2025","Lead Process Field Setup Tests > Lead Lost Reason Creation and Updation","","",""
"","2435","Click on Lead Lost Reason for Update","Sanity Tests","Tue Aug 05 16:25:57 IST 2025","passed","Tue Aug 05 16:25:59 IST 2025","Lead Process Field Setup Tests > Lead Lost Reason Creation and Updation","","",""
"","11719","LeadStageSetupTest","Sanity Tests","Mon Aug 04 18:58:44 IST 2025","passed","Mon Aug 04 18:58:55 IST 2025","Lead Process Field Setup Tests","","",""
"","98","Ticket Stage Setup","Sanity Tests","Tue Aug 05 16:35:31 IST 2025","passed","Tue Aug 05 16:35:31 IST 2025","Ticket Process Field Setup Tests > Ticket Stage Creation and Updation","","",""
"","7","ClickonLeadLostReasonTest","Sanity Tests","Mon Aug 04 18:16:02 IST 2025","skipped","Mon Aug 04 18:16:02 IST 2025","Lead Process Field Setup Tests","","",""
"","3","SetupLeadStatusTest","Sanity Tests","Mon Aug 04 16:04:22 IST 2025","skipped","Mon Aug 04 16:04:22 IST 2025","Lead Process Field Setup Tests","","",""
"","5014","CreateLeadStatusTest","Sanity Tests","Mon Aug 04 15:44:18 IST 2025","failed","Mon Aug 04 15:44:23 IST 2025","Lead Process Field Setup Tests","","",""
"","22859","TicketTypeCompleteTest","Sanity Tests","Mon Aug 04 19:43:30 IST 2025","passed","Mon Aug 04 19:43:53 IST 2025","Ticket Process Field Setup Tests","","",""
"","79","Ticket Type Update","Sanity Tests","Tue Aug 05 16:33:12 IST 2025","passed","Tue Aug 05 16:33:12 IST 2025","Ticket Process Field Setup Tests > Ticket Type Creation and Updation","","",""
"","2274","Click on Lead Stage for Update","Sanity Tests","Tue Aug 05 16:25:47 IST 2025","passed","Tue Aug 05 16:25:49 IST 2025","Lead Process Field Setup Tests > Lead Stage Creation and Updation","","",""
"","28","UpdateTicketStageTest","Sanity Tests","Mon Aug 04 15:45:06 IST 2025","skipped","Mon Aug 04 15:45:06 IST 2025","Ticket Process (Type, Priority, Stage) Setup Tests","","",""
"","65","Lead Status Update","Sanity Tests","Tue Aug 05 16:25:54 IST 2025","passed","Tue Aug 05 16:25:54 IST 2025","Lead Process Field Setup Tests > Lead Status Creation and Updation","","",""
"","2667","Click on Ticket Type for Update","Sanity Tests","Tue Aug 05 16:33:09 IST 2025","passed","Tue Aug 05 16:33:12 IST 2025","Ticket Process Field Setup Tests > Ticket Type Creation and Updation","","",""
"","2214","CreateLeadStageTest","Sanity Tests","Mon Aug 04 15:44:03 IST 2025","passed","Mon Aug 04 15:44:05 IST 2025","Lead Process Field Setup Tests","","",""
"","46","Lead Lost Reason Update","Sanity Tests","Tue Aug 05 16:25:59 IST 2025","passed","Tue Aug 05 16:25:59 IST 2025","Lead Process Field Setup Tests > Lead Lost Reason Creation and Updation","","",""
"","710","Click on Ticket Type","Sanity Tests","Tue Aug 05 16:32:56 IST 2025","passed","Tue Aug 05 16:32:56 IST 2025","Ticket Process Field Setup Tests > Ticket Type Creation and Updation","","",""
"","1210","ClickOnLeadStatusNavigationTest","Sanity Tests","Mon Aug 04 16:00:04 IST 2025","passed","Mon Aug 04 16:00:05 IST 2025","Lead Navigation Tests","","",""
"","100","Ticket Priority Setup","Sanity Tests","Tue Aug 05 16:33:15 IST 2025","passed","Tue Aug 05 16:33:15 IST 2025","Ticket Process Field Setup Tests > Ticket Priority Creation and Updation","","",""
"","2097","ClickonLeadStageTest","Sanity Tests","Mon Aug 04 18:16:49 IST 2025","passed","Mon Aug 04 18:16:51 IST 2025","Lead Process Field Setup Tests","","",""
"","5","CreateLeadLostReasonTest","Sanity Tests","Mon Aug 04 15:44:24 IST 2025","skipped","Mon Aug 04 15:44:24 IST 2025","Lead Process Field Setup Tests","","",""
"","8","UpdateLeadLostReasonTest","Sanity Tests","Mon Aug 04 18:16:02 IST 2025","skipped","Mon Aug 04 18:16:02 IST 2025","Lead Process Field Setup Tests","","",""
"","2673","Click on Ticket Stage for Update","Sanity Tests","Tue Aug 05 16:35:31 IST 2025","passed","Tue Aug 05 16:35:34 IST 2025","Ticket Process Field Setup Tests > Ticket Stage Creation and Updation","","",""
"","2807","Click on Ticket Priority for Update","Sanity Tests","Tue Aug 05 16:33:15 IST 2025","passed","Tue Aug 05 16:33:18 IST 2025","Ticket Process Field Setup Tests > Ticket Priority Creation and Updation","","",""
"","10","CreateTicketPriorityTest","Sanity Tests","Mon Aug 04 15:45:06 IST 2025","skipped","Mon Aug 04 15:45:06 IST 2025","Ticket Process (Type, Priority, Stage) Setup Tests","","",""
"","8","SetupLeadLostReasonTest","Sanity Tests","Mon Aug 04 16:04:22 IST 2025","skipped","Mon Aug 04 16:04:22 IST 2025","Lead Process Field Setup Tests","","",""
"","985","ClickOnLeadLostReasonNavigationTest","Sanity Tests","Mon Aug 04 16:00:05 IST 2025","passed","Mon Aug 04 16:00:06 IST 2025","Lead Navigation Tests","","",""
"","2419","Click on Lead Status","Sanity Tests","Tue Aug 05 16:25:49 IST 2025","passed","Tue Aug 05 16:25:52 IST 2025","Lead Process Field Setup Tests > Lead Status Creation and Updation","","",""
"","3192","Click on Lead Stage","Sanity Tests","Tue Aug 05 16:25:33 IST 2025","passed","Tue Aug 05 16:25:36 IST 2025","Lead Process Field Setup Tests > Lead Stage Creation and Updation","","",""
"","2918","Click on Ticket Priority","Sanity Tests","Tue Aug 05 16:33:12 IST 2025","passed","Tue Aug 05 16:33:15 IST 2025","Ticket Process Field Setup Tests > Ticket Priority Creation and Updation","","",""
"","149","Lead Status Setup","Sanity Tests","Tue Aug 05 16:25:52 IST 2025","passed","Tue Aug 05 16:25:52 IST 2025","Lead Process Field Setup Tests > Lead Status Creation and Updation","","",""
"","12835","LeadStatusCompleteTest","Sanity Tests","Mon Aug 04 19:11:57 IST 2025","passed","Mon Aug 04 19:12:10 IST 2025","Lead Process Field Setup Tests","","",""
"","19","CreateTicketStageTest","Sanity Tests","Mon Aug 04 15:45:06 IST 2025","skipped","Mon Aug 04 15:45:06 IST 2025","Ticket Process (Type, Priority, Stage) Setup Tests","","",""
"","2314","Click on Lead Status for Update","Sanity Tests","Tue Aug 05 16:25:52 IST 2025","passed","Tue Aug 05 16:25:54 IST 2025","Lead Process Field Setup Tests > Lead Status Creation and Updation","","",""
